. Domain: healthgrades.com | Records saved: 1
. Domain: dbstalk.com | Records saved: 342
. Domain: leadstories.com | Records saved: 1
. Domain: html.com | Records saved: 104
. Domain: drownedinsound.com | Records saved: 13
. Domain: veblr.com | Records saved: 30
. Domain: historyextra.com | Records saved: 110
. Domain: dailymail.co.uk | Records saved: 394
. Domain: relyonhorror.com | Records saved: 115
. Domain: londonist.com | Records saved: 133
. Domain: digitalartsonline.co.uk | Records saved: 307
. Domain: visitlondon.com | Records saved: 89
. Domain: localadventurer.com | Records saved: 52
. Domain: uberpeople.net | Records saved: 1
. Domain: dailypost.ng | Records saved: 99
. Domain: liketotally80s.com | Records saved: 246
. Domain: localhistories.org | Records saved: 1
. Domain: uploadfiles.io | Records saved: 113
. Domain: dailypost.co.uk | Records saved: 1106
. Domain: liverpoolecho.co.uk | Records saved: 1106
. Domain: dailyrecord.co.uk | Records saved: 1106
. Domain: dayjob.com | Records saved: 1
. Domain: revisionmaths.com | Records saved: 1
. Domain: usingenglish.com | Records saved: 442
. Domain: hotpress.com | Records saved: 3
. Domain: laffgaff.com | Records saved: 205
. Domain: dexerto.com | Records saved: 66
. Domain: djmag.com | Records saved: 631
. Domain: lsn.com | Records saved: 106
. Domain: refrigeration-engineer.com | Records saved: 1
. Domain: dragonbyte-tech.com | Records saved: 1
. Domain: roughguides.com | Records saved: 18
. Domain: verbalcommits.com | Records saved: 339
. Domain: historylearningsite.co.uk | Records saved: 204
. Domain: squawka.com | Records saved: 204
. Domain: videogamer.com | Records saved: 402
. Domain: howlongagogo.com | Records saved: 192
. Domain: dazeddigital.com | Records saved: 2
. Domain: stuff.tv | Records saved: 779
. Domain: hindustantimes.com | Records saved: 37
. Domain: reptileforums.co.uk | Records saved: 551
. Domain: houseandgarden.co.uk | Records saved: 23
. Domain: fantasticfiction.com | Records saved: 20
. Domain: lipsum.com | Records saved: 123
. Domain: steephill.tv | Records saved: 71
. Domain: game-debate.com | Records saved: 16
. Domain: lastminute.com | Records saved: 22
. Domain: papersizes.org | Records saved: 178
. Domain: dezeen.com | Records saved: 153
. Domain: dailystar.co.uk | Records saved: 1106
. Domain: pcgamesn.com | Records saved: 79
. Domain: rp-online.de | Records saved: 659
. Domain: gamespew.com | Records saved: 213
. Domain: futwiz.com | Records saved: 70
. Domain: record.pt | Records saved: 166
. Domain: helpingwithmath.com | Records saved: 1
. Domain: guardian.ng | Records saved: 273
. Domain: hitc.com | Records saved: 151
. Domain: french-linguistics.co.uk | Records saved: 1
. Domain: footballfancast.com | Records saved: 1402
. Domain: discoverwildlife.com | Records saved: 110
. Domain: dreamingindiy.com | Records saved: 91
. Domain: decanter.com | Records saved: 578
. Domain: gadgetsandwearables.com | Records saved: 106
. Domain: radiotimes.com | Records saved: 110
. Domain: homebrewtalk.com | Records saved: 259
. Domain: vgchartz.com | Records saved: 402
. Domain: homemade-gifts-made-easy.com | Records saved: 52
. Domain: springfieldspringfield.co.uk | Records saved: 51
. Domain: historic-uk.com | Records saved: 1
. Domain: popxo.com | Records saved: 499
. Domain: surnamedb.com | Records saved: 24
. Domain: daysoftheyear.com | Records saved: 322
. Domain: foodgawker.com | Records saved: 2
. Domain: givemesport.com | Records saved: 303
. Domain: glamourmagazine.co.uk | Records saved: 23
. Domain: gamesindustry.biz | Records saved: 9
. Domain: fashionbeans.com | Records saved: 133
. Domain: football365.com | Records saved: 315
. Domain: herbwisdom.com | Records saved: 1
. Domain: footyheadlines.com | Records saved: 1
. Domain: zamzar.com | Records saved: 322
. Domain: gooya.com | Records saved: 52
. Domain: denofgeek.com | Records saved: 1233
. Domain: pets4homes.co.uk | Records saved: 1
. Domain: greenhulk.net | Records saved: 1
. Domain: gistmania.com | Records saved: 54
. Domain: gamerguides.com | Records saved: 260
. Domain: rhs.org.uk | Records saved: 20
. Domain: golfalot.com | Records saved: 97
. Domain: gq-magazine.co.uk | Records saved: 24
. Domain: fivebooks.com | Records saved: 1
. Domain: footballtransfertavern.com | Records saved: 974
. Domain: greenthickies.com | Records saved: 52
. Domain: platinumgod.co.uk | Records saved: 133
. Domain: whatcar.com | Records saved: 45
. Domain: gumtree.com | Records saved: 39
. Domain: pistonheads.com | Records saved: 100
. Domain: gardenersworld.com | Records saved: 110
. Domain: fourfourtwo.com | Records saved: 1042
. Domain: gta5-mods.com | Records saved: 133
. Domain: freebieshark.com | Records saved: 1
. Domain: qth.com | Records saved: 1
. Domain: producttestingusa.com | Records saved: 1
. Domain: plantbasednews.org | Records saved: 39
. Domain: wrestlingnews.co | Records saved: 139
. Domain: walesonline.co.uk | Records saved: 1106
. Domain: goodtoknow.co.uk | Records saved: 578
. Domain: ldoceonline.com | Records saved: 32
. Domain: alaraby.co.uk | Records saved: 28
. Domain: psnprofiles.com | Records saved: 72
. Domain: gumtree.co.za | Records saved: 190
. Domain: primelocation.com | Records saved: 13
. Domain: publicdomainpictures.net | Records saved: 2
. Domain: gizmodo.co.uk | Records saved: 813
. Domain: gtaall.com | Records saved: 34
. Domain: flyawaysimulation.com | Records saved: 1
. Domain: worldtravelguide.net | Records saved: 48
. Domain: foot-pain-explored.com | Records saved: 52
. Domain: whatculture.com | Records saved: 505
. Domain: ruten.com.tw | Records saved: 5
. Domain: planetf1.com | Records saved: 402
. Domain: popsugar.co.uk | Records saved: 48
. Domain: phrases.org.uk | Records saved: 204
. Domain: weatheronline.co.uk | Records saved: 1
. Domain: wired.co.uk | Records saved: 23
. Domain: eastoftheweb.com | Records saved: 133
. Domain: familydaysout.com | Records saved: 1
. Domain: psychologies.co.uk | Records saved: 339
. Domain: alphabetagamer.com | Records saved: 1
. Domain: advfn.com | Records saved: 242
. Domain: product-reviews.net | Records saved: 341
. Domain: practicalfishkeeping.co.uk | Records saved: 12
. Domain: wikijob.co.uk | Records saved: 52
. Domain: wdwmagic.com | Records saved: 293
. Domain: woman.ru | Records saved: 312
. Domain: a-z-animals.com | Records saved: 606
. Domain: airportia.com | Records saved: 102
. Domain: guideautoweb.com | Records saved: 30
